algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler+PCA+OutlierRemoval,2,0.21174712338927631,1.8119787008039334,764.7604952834062,
KMeans,StandardScaler+PCA+OutlierRemoval,3,0.18079691971638434,2.0310740719540505,520.4606363457277,
KMeans,StandardScaler+PCA+OutlierRemoval,4,0.12954741675703396,2.441943869161606,433.55407715059965,
KMeans,StandardScaler+PCA+OutlierRemoval,5,0.12596709417920543,2.241386643056111,369.45593094329286,
KMeans,StandardScaler+PCA+OutlierRemoval,6,0.10603628984494967,2.356556550999535,326.6474007988541,
KMeans,StandardScaler+PCA+OutlierRemoval,7,0.1127032014966965,2.192540115339663,295.2807270977693,
KMeans,StandardScaler+PCA+OutlierRemoval,8,0.11663877399379433,2.259151866570484,274.43229696508433,
GMM,StandardScaler+PCA+OutlierRemoval,2,0.19758116915290017,1.8700938018305793,678.6757298786093,
GMM,StandardScaler+PCA+OutlierRemoval,3,0.15713798225247372,1.972949409118027,432.6466774757979,
GMM,StandardScaler+PCA+OutlierRemoval,4,0.08204505976936667,3.2486677059691953,291.47952617748365,
GMM,StandardScaler+PCA+OutlierRemoval,5,0.06178792552915324,2.9492631992778287,259.573370690347,
GMM,StandardScaler+PCA+OutlierRemoval,6,0.0713989161379037,2.6777614370875997,260.1762945730377,
GMM,StandardScaler+PCA+OutlierRemoval,7,0.04769323896615861,2.8270206406371403,222.0478439298075,
GMM,StandardScaler+PCA+OutlierRemoval,8,0.06579183131430352,2.721208897024333,221.19673793075063,
Agglomerative,StandardScaler+PCA+OutlierRemoval,2,0.20406097647399773,1.8391910694781946,716.6731478098066,
Agglomerative,StandardScaler+PCA+OutlierRemoval,3,0.16859794880458615,1.9900296659955394,474.65670856315836,
Agglomerative,StandardScaler+PCA+OutlierRemoval,4,0.09878931885158992,2.688084409478482,375.11750235934863,
Agglomerative,StandardScaler+PCA+OutlierRemoval,5,0.10114127884596151,2.635954027735523,326.0462057868249,
Agglomerative,StandardScaler+PCA+OutlierRemoval,6,0.0960760149634919,2.416622839392497,292.95656809165723,
Agglomerative,StandardScaler+PCA+OutlierRemoval,7,0.1060131814521669,2.282519024091282,270.04885468922686,
Agglomerative,StandardScaler+PCA+OutlierRemoval,8,0.09977540425937777,2.3644954890808343,248.25118433516107,
Spectral,StandardScaler+PCA+OutlierRemoval,2,0.12947880826833225,2.0269071904322224,355.9010634604495,
Spectral,StandardScaler+PCA+OutlierRemoval,3,0.1735656891156981,2.0135888023283948,496.9842890926855,
Spectral,StandardScaler+PCA+OutlierRemoval,4,0.09709848335059335,1.9590147512862468,351.11305372868674,
Spectral,StandardScaler+PCA+OutlierRemoval,5,0.08803524534021684,1.8781003418922988,296.8245227217159,
Spectral,StandardScaler+PCA+OutlierRemoval,6,0.08910368013357517,1.8595296503622631,256.3122148118149,
Spectral,StandardScaler+PCA+OutlierRemoval,7,0.08119642329390543,1.8354481250020735,219.6677930274067,
Spectral,StandardScaler+PCA+OutlierRemoval,8,0.08696158757153612,1.8900462544845693,205.50122389459932,
DBSCAN,StandardScaler+PCA+OutlierRemoval,,0.9078406832904686,0.118035301541775,436.6473186433219,1.0
DBSCAN,StandardScaler+PCA+OutlierRemoval,,0.5327658799674649,0.7982252312452187,82.298126644722,1.5
