algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA+Outliers,2,,,,,0.23441501639683032,1.599574722839288,34125.678075647804
KMeans,PCA+Outliers,3,,,,,0.15887717187214948,2.0771332438601116,23309.916321877783
KMeans,PCA+Outliers,4,,,,,0.14770131535778808,1.9168735061737414,18962.663095950742
KMeans,PCA+Outliers,5,,,,,0.12638536315546237,2.055091621159323,16766.712767143406
KMeans,PCA+Outliers,6,,,,,0.12637651271469694,1.9151181133198623,15242.533527407908
KMeans,PCA+Outliers,7,,,,,0.12217132405311543,1.8538317411937357,14001.561938528657
KMeans,PCA+Outliers,8,,,,,0.12194216104850501,1.7932237647437992,13162.799800364926
GMM,PCA+Outliers,2,,,,,0.23101052622747995,1.6145325907243662,33289.08607917093
GMM,PCA+Outliers,3,,,,,0.15912896755549505,2.0430653900212374,22732.513287567086
GMM,PCA+Outliers,4,,,,,0.12228196887971482,2.2988886454728474,18042.376239403948
GMM,PCA+Outliers,5,,,,,0.11518772477212223,2.2474432415399255,15794.21939297967
GMM,PCA+Outliers,6,,,,,0.05927754700314151,3.2336896816005756,11483.77433754177
GMM,PCA+Outliers,7,,,,,0.05181963357038471,3.144311456433904,9560.581532089693
GMM,PCA+Outliers,8,,,,,0.03659045372562167,3.322529478959842,8184.584145467452
DBSCAN,PCA+Outliers,,0.5,,,,-0.5466402031798452,0.951957449472171,10.632168147780076
DBSCAN,PCA+Outliers,,1.0,,,,0.29274305530753764,0.6651790933964571,15.03659134879126
OPTICS,PCA+Outliers,,,3,,7802,-0.39634291136601196,1.221225610287302,6.029815843427406
OPTICS,PCA+Outliers,,,5,,1524,-0.6201497700205201,1.2344200181235603,7.379448286337902
OPTICS,PCA+Outliers,,,10,,41,-0.5247330650796745,1.263773859305792,13.018668493876632
Agglomerative,PCA+Outliers,2,,,,,0.20212947100289583,1.6941234726457077,2784.622138790808
Agglomerative,PCA+Outliers,3,,,,,0.11082103532595143,2.4073792558204627,1987.3470068413176
Agglomerative,PCA+Outliers,4,,,,,0.09112875213660603,2.3900426110796236,1535.171928100059
Agglomerative,PCA+Outliers,5,,,,,0.07604075716220977,2.4576914836086394,1320.0756485177192
Agglomerative,PCA+Outliers,6,,,,,0.06193967095689697,2.5982274608826748,1174.5681086987524
Agglomerative,PCA+Outliers,7,,,,,0.060118920734628045,2.412384235980753,1068.2229636699576
Agglomerative,PCA+Outliers,8,,,,,0.05635443713863779,2.2916745692609033,986.2697971813826
BIRCH,PCA+Outliers,,,,0.2,9633,0.024085579458038655,0.19333085897064514,120.81087911304904
BIRCH,PCA+Outliers,,,,0.5,4898,0.053555372039385284,0.8296021879929086,52.0756959877658
BIRCH,PCA+Outliers,,,,1.0,838,0.1000495114883958,1.3561693163291972,103.29515994106515
BIRCH,PCA+Outliers,,,,1.5,86,0.10156028191443524,1.5840026433895416,360.7078929441788
